Item,Register,SubRegister,ID,Index,Bit Locate,Type,Physical Address,Description,Default Value,Bitwidth configuare,Min,Max,Usecase,Constraint
CSR,ID,,0,0,[31:0],RO,DE000000,ID,0x60451000,,,,,
CSR,REVISION,,0,1,[31:0],RO,DE000004,revision,0x23080105,,,,,
CSR,STATUS,,0,2,[21:0],RW,DE000008,"[0]: CDMA status (read only)
[1]: SDMA status (read only)
[2]: LDMA status (read only)
[3]: FME status (read only)
[4]: N/A
[5~6]: reserved
[7]: ISSUE exception
[8]: CDMA exception
[9]: SDMA exception
[10]: LDMA exception
[11]: GEMM exception
[12]: EDP exception
[13~18]: reserved
[19]: fetch_buffer_free_entry
[20]: interrupt command enable
[21]: sqr credit",0,,,,,
CSR,CONTROL,,0,3,[21:0],RW,DE00000C,"[0~6]: reserved
[8]: ISSUE exception mask
[8]: CDMA exception mask
[9]: SDMA exception mask
[10]: LDMA exception mask
[11]: GEMM exception mask
[12]: EDP exception mask
[13~19]: reserved
[20]:  interrupt command mask
[21]: cdma credit",0,,,,,
CSR,CREDIT,,0,4,[10:0],RO,DE000010,sqr credit number,1024,,,,,
CSR,COUNTER,LSB,0,5,[21:0],RW,DE000014,,0,,,,,
CSR,COUNTER,MSB,0,6,[9:0],RW,DE000018,,0,,,,,
CSR,COUNTER_MASK,,0,7,[21:0],RW,DE00001C,,0,,,,,
CSR,EXRAM_BASED_ADDR_0,LSB,0,8,[21:0],RW,DE000020,,0,,,,,
CSR,EXRAM_BASED_ADDR_0,MSB,0,9,[9:0],RW,DE000024,,0,,,,,
CSR,EXRAM_BASED_ADDR_1,LSB,0,10,[21:0],RW,DE000028,,0,,,,,
CSR,EXRAM_BASED_ADDR_1,MSB,0,11,[9:0],RW,DE00002C,,0,,,,,
CSR,EXRAM_BASED_ADDR_2,LSB,0,12,[21:0],RW,DE000030,,0,,,,,
CSR,EXRAM_BASED_ADDR_2,MSB,0,13,[9:0],RW,DE000034,,0,,,,,
CSR,EXRAM_BASED_ADDR_3,LSB,0,14,[21:0],RW,DE000038,,0,,,,,
CSR,EXRAM_BASED_ADDR_3,MSB,0,15,[9:0],RW,DE00003C,,0,,,,,
CSR,EXRAM_BASED_ADDR_4,LSB,0,16,[21:0],RW,DE000040,,0,,,,,
CSR,EXRAM_BASED_ADDR_4,MSB,0,17,[9:0],RW,DE000044,,0,,,,,
CSR,EXRAM_BASED_ADDR_5,LSB,0,18,[21:0],RW,DE000048,,0,,,,,
CSR,EXRAM_BASED_ADDR_5,MSB,0,19,[9:0],RW,DE00004C,,0,,,,,
CSR,EXRAM_BASED_ADDR_6,LSB,0,20,[21:0],RW,DE000050,,0,,,,,
CSR,EXRAM_BASED_ADDR_6,MSB,0,21,[9:0],RW,DE000054,,0,,,,,
CSR,EXRAM_BASED_ADDR_7,LSB,0,22,[21:0],RW,DE000058,,0,,,,,
CSR,EXRAM_BASED_ADDR_7,MSB,0,23,[9:0],RW,DE00005C,,0,,,,,
CSR,NOP,,0,31,[21:0],WO,DE00007C,nop command,0,,,,,
SDMA,SFENCE,,1,0,[21:0],RW,DE000080,"Start command with fence behavior. Command includes 5 targets which are
FME, LDMA, SDMA and CDMA, and it can determine which target has to block.
It is a command when write operation, and it is a register when read operation.
0: non-blocking
1: blocking
Command Format: ( (BASE_ADDR_SEL[2:0]<<18) | (FME << 3) | (LDMA << 2) | (SDMA << 1) | (CDMA << 0))
0: disable interrupt
1: enable interrupt
Command Format: (Interrupt enable << 21)",0,,,,,
SDMA,DIRECTION,,1,1,[0],RW,DE000084,"0: read from BMC (BMC -> DLA)(LDMA/CDMA)
1: write to BMC (DLA -> BMC)(SDMA)",1,,,,,
SDMA,EXRAM_ADDR,LSB,1,2,[21:0],RW,DE000088,External memory address,0,,,,,
SDMA,EXRAM_ADDR,MSB,1,3,[9:0],RW,DE00008C,External memory address,0,,,,,
SDMA,SHRAM_ADDR,,1,4,[9:0] ~ [21:0],RW,DE000090,Shared memory address,0,`ANDLA_IBMC_ADDR_BITWIDTH,,,,
SDMA,EXRAM_C,,1,5,[10:0] ~ [22:0],RW,DE000094,Channel size for external memory,0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,,align SHRAM size
SDMA,EXRAM_W,,1,6,[15:0],RW,DE000098,Width for external memory,0,,,,,
SDMA,EXRAM_H,,1,7,[15:0],RW,DE00009C,Height for external memory,0,,,,,
SDMA,EXRAM_N,,1,8,[15:0],RW,DE0000A0,The Number of kernel for external memory,0,,,,,
SDMA,EXRAM_STRIDE_W_SIZE,,1,9,[21:0],RW,DE0000A4,Stride size for the first-dimension transaction ,0,,,,,
SDMA,EXRAM_STRIDE_H_SIZE,,1,10,[21:0],RW,DE0000A8,Stride size for the second-dimension transaction ,0,,,,,
SDMA,EXRAM_STRIDE_N_SIZE,,1,11,[21:0],RW,DE0000AC,Stride size for the third-dimension transaction ,0,,,,,
SDMA,SHRAM_C,,1,12,[10:0] ~ [22:0],RW,DE0000B0,Channel size for shared memory,0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,,align SHRAM size
SDMA,SHRAM_W,,1,13,[15:0],RW,DE0000B4,Width for shared memory,0,,,,,
SDMA,SHRAM_H,,1,14,[15:0],RW,DE0000B8,Height for shared memory,0,,,,,
SDMA,SHRAM_N,,1,15,[15:0],RW,DE0000BC,The Number of kernel for shared memory,0,,,,,
SDMA,SHRAM_PAD_RIGHT,,1,16,[3:0],RW,DE0000C0,Data right side padding,0,,,,,
SDMA,SHRAM_PAD_LEFT,,1,17,[3:0],RW,DE0000C4,Data left side padding,0,,,,,
SDMA,SHRAM_PAD_UP,,1,18,[3:0],RW,DE0000C8,Data upon padding,0,,,,,
SDMA,SHRAM_PAD_DOWN,,1,19,[3:0],RW,DE0000CC,Data bottom padding,0,,,,,
SDMA,CONST_VALUE,CONST VALUE DATA,1,20,[15:0],RW,DE0000D0,Const value data,0,`CONST_VALUE_BITWIDTH,,,,
SDMA,CONST_VALUE,Null,1,20,[19:16],RW,DE0000D0,null range,0,,,,,
SDMA,CONST_VALUE,CONST VALUE SEL,1,20,[21:20],RW,DE0000D0,"0: disable this feature 
2: CONST_VALUE[7:0] available
3: CONST_VALUE[15:0] available",0,,,,,
SDMA,CH_NUM,,1,21,[10:0] ~ [22:0],RW,DE0000D4,SHRAM algorithm required channel number (exclude dummy),0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,,align SHRAM size
SDMA,SDMA_DEPADDING_BY_PASS,,1,22,[0],RW,DE0000D8,compression feature bypass if padding enabled,1,,,,,
SDMA,PRESERVED0,,1,23,[0],RW,DE0000DC,preserved register 0 for LDMA reg order alignment,0,,,,,
SDMA,PRESERVED1,,1,24,[0],RW,DE0000E0,preserved register 1 for LDMA reg order alignment,0,,,,,
SDMA,PRESERVED2,,1,25,[0],RW,DE0000E4,preserved register 2 for LDMA reg order alignment,0,,,,,
SDMA,SDMA_CHSUM_SEL,,1,26,[21:0],RW,DE0000E8,"[21]: 1: check sum enable; 0: disable
[20]: 1: clean performance data;
[19:0]: selection of SDMA check sum value
0: sdma_aw_addr
1: sdma_aw_length
2: sdma_w_data
3: sdma_w_strb
4: sdma_buf_w_data
5: sdma_buf_r_data
6: sdma_shram_r_data
7: sdma_shram_r_addr
8: sdma_total_cycle_cnt
9: sdma_bmc_cycle_cnt
10: sdma_ibmc_cycle_cnt
11: sdma_cmd_idle_cnt
12: sdma_data_2_data_cnt
13: sdma_cmd_2_cmd_cnt
14: sdma_bmc_state
15: sdma_bmc_cmd_cnt
16: sdma_buf_num
17: sdma_comp_cat_num
18: sdma_d_data_buf_cnt",0,,,,,"sdma_total_cycle_cnt: sdma busy cycle count
sdma_bmc_cycle_cnt: busy cycle count of sdma bmc
sdma_ibmc_cycle_cnt: busy cycle count of sdma ibmc
sdma_cmd_idle_cnt: the max. latency of bmc command acception(vld=1, rdy=0)
sdma_data_2_data_cnt: the latency of two valid data
sdma_cmd_2_cmd_cnt: the latency of two valid command"
SDMA,SDMA_CHSUM_DATA,,1,27,[31:0],RO,DE0000EC,"check-sum value of SDMA_CHSUM_SEL
data from SDMA, and output by riu_rdata directly,
the register is in SDMA",0,,,,,
SDMA,SHRAM_STRIDE_W_SIZE,,1,28,[9:0] ~ [21:0],RW,DE0000F0,Stride size for the SHRAM first-dimension transaction ,0,`ANDLA_IBMC_ADDR_BITWIDTH,,,,
SDMA,SHRAM_STRIDE_H_SIZE,,1,29,[9:0] ~ [21:0],RW,DE0000F4,Stride size for the SHRAM second-dimension transaction ,0,`ANDLA_IBMC_ADDR_BITWIDTH,,,,
